time,open,close,high,low
2020-01-01 22:00:00,1.12160,1.12151,1.12185,1.12151
2020-01-01 22:05:00,1.12151,1.12159,1.12175,1.12133
2020-01-01 22:10:00,1.12158,1.12152,1.12162,1.12124
2020-01-01 22:15:00,1.12150,1.12151,1.12169,1.12143
2020-01-01 22:20:00,1.12151,1.12164,1.12168,1.12150
2020-01-01 22:25:00,1.12168,1.12163,1.12169,1.12162
2020-01-01 22:30:00,1.12166,1.12162,1.12168,1.12157
2020-01-01 22:35:00,1.12163,1.12162,1.12166,1.12160
2020-01-01 22:40:00,1.12162,1.12162,1.12169,1.12160
2020-01-01 22:45:00,1.12166,1.12167,1.12171,1.12156
2020-01-01 22:50:00,1.12167,1.12164,1.12173,1.12159
2020-01-01 22:55:00,1.12165,1.12157,1.12165,1.12156
2020-01-01 23:00:00,1.12158,1.12197,1.12228,1.12156
2020-01-01 23:05:00,1.12202,1.12202,1.12209,1.12194
2020-01-01 23:10:00,1.12202,1.12203,1.12209,1.12201
2020-01-01 23:15:00,1.12203,1.12201,1.12205,1.12198
2020-01-01 23:20:00,1.12201,1.12208,1.12208,1.12198
2020-01-01 23:25:00,1.12208,1.12213,1.12214,1.12208
2020-01-01 23:30:00,1.12214,1.12218,1.12219,1.12213
2020-01-01 23:35:00,1.12218,1.12217,1.12219,1.12217
2020-01-01 23:40:00,1.12217,1.12211,1.12219,1.12209
2020-01-01 23:45:00,1.12212,1.12186,1.12212,1.12180
2020-01-01 23:50:00,1.12185,1.12186,1.12193,1.12185
2020-01-01 23:55:00,1.12185,1.12191,1.12195,1.12185
2020-01-02 00:00:00,1.12192,1.12191,1.12193,1.12181
2020-01-02 00:05:00,1.12192,1.12186,1.12192,1.12182
2020-01-02 00:10:00,1.12186,1.12165,1.12186,1.12164
2020-01-02 00:15:00,1.12165,1.12165,1.12171,1.12160
2020-01-02 00:20:00,1.12166,1.12164,1.12169,1.12159
2020-01-02 00:25:00,1.12163,1.12164,1.12166,1.12163
2020-01-02 00:30:00,1.12165,1.12167,1.12167,1.12162
2020-01-02 00:35:00,1.12166,1.12162,1.12171,1.12161
2020-01-02 00:40:00,1.12160,1.12176,1.12176,1.12159
2020-01-02 00:45:00,1.12176,1.12186,1.12188,1.12175
2020-01-02 00:50:00,1.12186,1.12187,1.12191,1.12183
2020-01-02 00:55:00,1.12187,1.12185,1.12187,1.12183
2020-01-02 01:00:00,1.12184,1.12219,1.12219,1.12183
2020-01-02 01:05:00,1.12218,1.12208,1.12218,1.12202
2020-01-02 01:10:00,1.12207,1.12229,1.12234,1.12203
2020-01-02 01:15:00,1.12228,1.12240,1.12245,1.12220
2020-01-02 01:20:00,1.12243,1.12239,1.12247,1.12233
2020-01-02 01:25:00,1.12240,1.12238,1.12240,1.12233
2020-01-02 01:30:00,1.12235,1.12235,1.12239,1.12230
2020-01-02 01:35:00,1.12234,1.12237,1.12238,1.12234
2020-01-02 01:40:00,1.12235,1.12213,1.12237,1.12213
2020-01-02 01:45:00,1.12212,1.12207,1.12214,1.12202
2020-01-02 01:50:00,1.12206,1.12192,1.12207,1.12190
2020-01-02 01:55:00,1.12193,1.12213,1.12213,1.12182
2020-01-02 02:00:00,1.12212,1.12205,1.12213,1.12199
2020-01-02 02:05:00,1.12206,1.12196,1.12209,1.12195
2020-01-02 02:10:00,1.12196,1.12194,1.12200,1.12186
2020-01-02 02:15:00,1.12194,1.12205,1.12210,1.12189
2020-01-02 02:20:00,1.12204,1.12207,1.12210,1.12198
2020-01-02 02:25:00,1.12207,1.12219,1.12219,1.12202
2020-01-02 02:30:00,1.12218,1.12220,1.12222,1.12213
2020-01-02 02:35:00,1.12220,1.12231,1.12236,1.12219
2020-01-02 02:40:00,1.12232,1.12241,1.12241,1.12230
2020-01-02 02:45:00,1.12240,1.12245,1.12247,1.12239
2020-01-02 02:50:00,1.12245,1.12245,1.12247,1.12244
2020-01-02 02:55:00,1.12244,1.12226,1.12244,1.12220
2020-01-02 03:00:00,1.12226,1.12228,1.12229,1.12220
2020-01-02 03:05:00,1.12228,1.12230,1.12233,1.12228
