time,open,close,high,low
2017-05-01 00:00:00,1.09062,1.09053,1.09081,1.09051
2017-05-01 00:05:00,1.09053,1.09052,1.09066,1.09050
2017-05-01 00:10:00,1.09052,1.09044,1.09062,1.09044
2017-05-01 00:15:00,1.09043,1.09030,1.09044,1.09027
2017-05-01 00:20:00,1.09030,1.09039,1.09041,1.09023
2017-05-01 00:25:00,1.09040,1.09040,1.09040,1.09034
2017-05-01 00:30:00,1.09040,1.09028,1.09045,1.09021
2017-05-01 00:35:00,1.09028,1.09031,1.09031,1.09018
2017-05-01 00:40:00,1.09031,1.09017,1.09031,1.09016
2017-05-01 00:45:00,1.09018,1.09033,1.09035,1.09018
2017-05-01 00:50:00,1.09033,1.09025,1.09049,1.09017
2017-05-01 00:55:00,1.09024,1.08998,1.09024,1.08998
2017-05-01 01:00:00,1.08998,1.08988,1.09001,1.08979
2017-05-01 01:05:00,1.08988,1.08993,1.09003,1.08955
2017-05-01 01:10:00,1.08994,1.08988,1.08994,1.08988
2017-05-01 01:15:00,1.08989,1.08999,1.09008,1.08988
2017-05-01 01:20:00,1.08998,1.08997,1.09010,1.08993
2017-05-01 01:25:00,1.08997,1.08949,1.08998,1.08937
2017-05-01 01:30:00,1.08949,1.08950,1.08966,1.08941
2017-05-01 01:35:00,1.08948,1.08943,1.08948,1.08911
2017-05-01 01:40:00,1.08945,1.08919,1.08948,1.08907
2017-05-01 01:45:00,1.08919,1.08911,1.08919,1.08895
2017-05-01 01:50:00,1.08911,1.08937,1.08940,1.08901
2017-05-01 01:55:00,1.08938,1.08931,1.08940,1.08926
2017-05-01 02:00:00,1.08931,1.08929,1.08947,1.08924
2017-05-01 02:05:00,1.08929,1.08938,1.08949,1.08929
2017-05-01 02:10:00,1.08939,1.08944,1.08947,1.08936
2017-05-01 02:15:00,1.08944,1.08940,1.08944,1.08926
2017-05-01 02:20:00,1.08941,1.08970,1.08970,1.08939
2017-05-01 02:25:00,1.08966,1.08970,1.08970,1.08956
2017-05-01 02:30:00,1.08968,1.08966,1.08970,1.08954
2017-05-01 02:35:00,1.08967,1.08955,1.08970,1.08955
2017-05-01 02:40:00,1.08955,1.08946,1.08968,1.08940
2017-05-01 02:45:00,1.08946,1.08946,1.08948,1.08936
2017-05-01 02:50:00,1.08947,1.08957,1.08960,1.08946
2017-05-01 02:55:00,1.08956,1.08942,1.08956,1.08941
2017-05-01 03:00:00,1.08941,1.08945,1.08950,1.08934
2017-05-01 03:05:00,1.08945,1.08934,1.08949,1.08933
2017-05-01 03:10:00,1.08935,1.08937,1.08939,1.08932
2017-05-01 03:15:00,1.08937,1.08938,1.08938,1.08935
2017-05-01 03:20:00,1.08938,1.08933,1.08942,1.08933
2017-05-01 03:25:00,1.08933,1.08939,1.08939,1.08933
2017-05-01 03:30:00,1.08939,1.08934,1.08940,1.08931
2017-05-01 03:35:00,1.08934,1.08927,1.08934,1.08923
2017-05-01 03:40:00,1.08929,1.08918,1.08929,1.08918
2017-05-01 03:45:00,1.08918,1.08918,1.08918,1.08915
2017-05-01 03:50:00,1.08919,1.08929,1.08929,1.08919
2017-05-01 03:55:00,1.08929,1.08935,1.08939,1.08926
2017-05-01 04:00:00,1.08935,1.08930,1.08936,1.08930
2017-05-01 04:05:00,1.08930,1.08935,1.08940,1.08929
2017-05-01 04:10:00,1.08934,1.08929,1.08936,1.08928
2017-05-01 04:15:00,1.08929,1.08929,1.08931,1.08927
2017-05-01 04:20:00,1.08928,1.08918,1.08928,1.08913
2017-05-01 04:25:00,1.08919,1.08907,1.08919,1.08905
2017-05-01 04:30:00,1.08905,1.08929,1.08931,1.08904
2017-05-01 04:35:00,1.08929,1.08922,1.08929,1.08921
2017-05-01 04:40:00,1.08922,1.08915,1.08922,1.08914
2017-05-01 04:45:00,1.08914,1.08916,1.08922,1.08909
2017-05-01 04:50:00,1.08915,1.08911,1.08915,1.08909
2017-05-01 04:55:00,1.08910,1.08912,1.08912,1.08908
2017-05-01 05:00:00,1.08909,1.08908,1.08909,1.08907
2017-05-01 05:05:00,1.08909,1.08909,1.08914,1.08908
2017-05-01 05:10:00,1.08909,1.08922,1.08926,1.08909
2017-05-01 05:15:00,1.08923,1.08914,1.08926,1.08910
2017-05-01 05:20:00,1.08912,1.08920,1.08920,1.08911
2017-05-01 05:25:00,1.08920,1.08920,1.08921,1.08920
2017-05-01 05:30:00,1.08920,1.08914,1.08922,1.08910
2017-05-01 05:35:00,1.08914,1.08906,1.08914,1.08903
2017-05-01 05:40:00,1.08906,1.08880,1.08908,1.08880
2017-05-01 05:45:00,1.08881,1.08884,1.08888,1.08879
2017-05-01 05:50:00,1.08884,1.08873,1.08884,1.08864
2017-05-01 05:55:00,1.08874,1.08873,1.08875,1.08869
2017-05-01 06:00:00,1.08873,1.08883,1.08883,1.08865
2017-05-01 06:05:00,1.08882,1.08890,1.08891,1.08879
2017-05-01 06:10:00,1.08890,1.08861,1.08905,1.08861
2017-05-01 06:15:00,1.08860,1.08864,1.08870,1.08850
2017-05-01 06:20:00,1.08864,1.08885,1.08887,1.08864
2017-05-01 06:25:00,1.08885,1.08891,1.08892,1.08865
2017-05-01 06:30:00,1.08891,1.08861,1.08901,1.08858
2017-05-01 06:35:00,1.08860,1.08878,1.08878,1.08850
2017-05-01 06:40:00,1.08877,1.08867,1.08878,1.08862
2017-05-01 06:45:00,1.08868,1.08883,1.08890,1.08868
2017-05-01 06:50:00,1.08884,1.08880,1.08890,1.08880
2017-05-01 06:55:00,1.08879,1.08875,1.08880,1.08873
2017-05-01 07:00:00,1.08872,1.08886,1.08886,1.08844
2017-05-01 07:05:00,1.08887,1.08895,1.08901,1.08887
2017-05-01 07:10:00,1.08895,1.08885,1.08899,1.08879
2017-05-01 07:15:00,1.08884,1.08895,1.08898,1.08884
2017-05-01 07:20:00,1.08894,1.08901,1.08901,1.08891
2017-05-01 07:25:00,1.08900,1.08901,1.08901,1.08900
2017-05-01 07:30:00,1.08901,1.08925,1.08925,1.08901
2017-05-01 07:35:00,1.08925,1.08940,1.08953,1.08925
2017-05-01 07:40:00,1.08940,1.08938,1.08949,1.08935
2017-05-01 07:45:00,1.08938,1.08924,1.08940,1.08924
2017-05-01 07:50:00,1.08925,1.08914,1.08929,1.08910
2017-05-01 07:55:00,1.08911,1.08907,1.08914,1.08902
2017-05-01 08:00:00,1.08904,1.08922,1.08933,1.08904
2017-05-01 08:05:00,1.08921,1.08922,1.08928,1.08911
2017-05-01 08:10:00,1.08923,1.08936,1.08936,1.08918
2017-05-01 08:15:00,1.08935,1.08940,1.08945,1.08934
2017-05-01 08:20:00,1.08939,1.08928,1.08944,1.08928
2017-05-01 08:25:00,1.08929,1.08939,1.08945,1.08927
2017-05-01 08:30:00,1.08939,1.08979,1.08979,1.08936
2017-05-01 08:35:00,1.08978,1.08964,1.08978,1.08959
2017-05-01 08:40:00,1.08965,1.08968,1.08980,1.08963
2017-05-01 08:45:00,1.08969,1.08964,1.08969,1.08961
2017-05-01 08:50:00,1.08965,1.08989,1.08993,1.08965
2017-05-01 08:55:00,1.08989,1.08989,1.08995,1.08989
2017-05-01 09:00:00,1.08989,1.08985,1.08990,1.08972
2017-05-01 09:05:00,1.08985,1.08984,1.08992,1.08984
2017-05-01 09:10:00,1.08984,1.08962,1.08984,1.08960
2017-05-01 09:15:00,1.08961,1.08957,1.08962,1.08955
2017-05-01 09:20:00,1.08958,1.08973,1.08974,1.08956
2017-05-01 09:25:00,1.08974,1.08977,1.08977,1.08973
2017-05-01 09:30:00,1.08976,1.08975,1.08978,1.08971
2017-05-01 09:35:00,1.08975,1.08981,1.08982,1.08974
2017-05-01 09:40:00,1.08982,1.08976,1.08982,1.08971
2017-05-01 09:45:00,1.08976,1.08984,1.08986,1.08974
2017-05-01 09:50:00,1.08985,1.08984,1.08986,1.08981
2017-05-01 09:55:00,1.08984,1.08992,1.08996,1.08981
2017-05-01 10:00:00,1.08992,1.08993,1.08994,1.08984
2017-05-01 10:05:00,1.08995,1.09007,1.09007,1.08993
2017-05-01 10:10:00,1.09008,1.08997,1.09008,1.08996
2017-05-01 10:15:00,1.08998,1.08998,1.09004,1.08995
2017-05-01 10:20:00,1.08997,1.08993,1.08997,1.08992
2017-05-01 10:25:00,1.08991,1.08988,1.08996,1.08983
2017-05-01 10:30:00,1.08987,1.09010,1.09012,1.08983
2017-05-01 10:35:00,1.09011,1.08998,1.09013,1.08993
2017-05-01 10:40:00,1.08997,1.09008,1.09008,1.08993
2017-05-01 10:45:00,1.09006,1.08999,1.09016,1.08998
2017-05-01 10:50:00,1.09000,1.08992,1.09008,1.08989
2017-05-01 10:55:00,1.08991,1.08991,1.08997,1.08977
2017-05-01 11:00:00,1.08991,1.08987,1.08991,1.08971
2017-05-01 11:05:00,1.08987,1.08978,1.08989,1.08972
2017-05-01 11:10:00,1.08977,1.08981,1.08983,1.08970
2017-05-01 11:15:00,1.08982,1.08991,1.08995,1.08978
2017-05-01 11:20:00,1.08989,1.08976,1.08989,1.08973
2017-05-01 11:25:00,1.08976,1.08966,1.08978,1.08966
2017-05-01 11:30:00,1.08965,1.08976,1.08980,1.08965
2017-05-01 11:35:00,1.08977,1.08983,1.08983,1.08975
2017-05-01 11:40:00,1.08983,1.09017,1.09025,1.08983
2017-05-01 11:45:00,1.09017,1.09016,1.09024,1.09008
2017-05-01 11:50:00,1.09017,1.09014,1.09022,1.09012
2017-05-01 11:55:00,1.09015,1.09056,1.09060,1.09012
2017-05-01 12:00:00,1.09057,1.09060,1.09060,1.09039
2017-05-01 12:05:00,1.09060,1.09060,1.09061,1.09049
2017-05-01 12:10:00,1.09060,1.09090,1.09101,1.09058
2017-05-01 12:15:00,1.09090,1.09099,1.09108,1.09083
2017-05-01 12:20:00,1.09100,1.09053,1.09104,1.09048
2017-05-01 12:25:00,1.09051,1.09079,1.09083,1.09049
2017-05-01 12:30:00,1.09080,1.09134,1.09152,1.09079
2017-05-01 12:35:00,1.09135,1.09153,1.09165,1.09132
2017-05-01 12:40:00,1.09152,1.09201,1.09205,1.09152
2017-05-01 12:45:00,1.09200,1.09199,1.09207,1.09188
2017-05-01 12:50:00,1.09198,1.09209,1.09221,1.09188
2017-05-01 12:55:00,1.09209,1.09171,1.09222,1.09167
2017-05-01 13:00:00,1.09171,1.09149,1.09179,1.09138
2017-05-01 13:05:00,1.09149,1.09126,1.09159,1.09114
2017-05-01 13:10:00,1.09127,1.09083,1.09130,1.09069
2017-05-01 13:15:00,1.09084,1.09105,1.09111,1.09081
2017-05-01 13:20:00,1.09106,1.09104,1.09113,1.09091
2017-05-01 13:25:00,1.09101,1.09093,1.09104,1.09088
2017-05-01 13:30:00,1.09092,1.09085,1.09121,1.09080
2017-05-01 13:35:00,1.09084,1.09101,1.09106,1.09076
2017-05-01 13:40:00,1.09101,1.09099,1.09101,1.09089
2017-05-01 13:45:00,1.09099,1.09095,1.09110,1.09083
2017-05-01 13:50:00,1.09093,1.09067,1.09095,1.09062
2017-05-01 13:55:00,1.09065,1.09097,1.09100,1.09061
2017-05-01 14:00:00,1.09198,1.09140,1.09204,1.09098
2017-05-01 14:05:00,1.09141,1.09191,1.09195,1.09131
2017-05-01 14:10:00,1.09191,1.09182,1.09221,1.09182
2017-05-01 14:15:00,1.09182,1.09185,1.09190,1.09148
2017-05-01 14:20:00,1.09184,1.09234,1.09241,1.09182
2017-05-01 14:25:00,1.09235,1.09221,1.09235,1.09204
2017-05-01 14:30:00,1.09220,1.09197,1.09238,1.09188
2017-05-01 14:35:00,1.09197,1.09198,1.09212,1.09193
2017-05-01 14:40:00,1.09197,1.09164,1.09197,1.09160
2017-05-01 14:45:00,1.09163,1.09148,1.09178,1.09148
2017-05-01 14:50:00,1.09148,1.09158,1.09169,1.09143
2017-05-01 14:55:00,1.09158,1.09147,1.09190,1.09147
2017-05-01 15:00:00,1.09148,1.09155,1.09188,1.09148
2017-05-01 15:05:00,1.09155,1.09154,1.09169,1.09142
2017-05-01 15:10:00,1.09155,1.09129,1.09175,1.09119
2017-05-01 15:15:00,1.09129,1.09143,1.09159,1.09121
2017-05-01 15:20:00,1.09143,1.09137,1.09146,1.09131
2017-05-01 15:25:00,1.09137,1.09146,1.09162,1.09131
2017-05-01 15:30:00,1.09147,1.09149,1.09154,1.09132
2017-05-01 15:35:00,1.09151,1.09108,1.09153,1.09097
2017-05-01 15:40:00,1.09108,1.09168,1.09174,1.09084
2017-05-01 15:45:00,1.09168,1.09144,1.09168,1.09110
2017-05-01 15:50:00,1.09143,1.09148,1.09154,1.09126
2017-05-01 15:55:00,1.09146,1.09115,1.09149,1.09087
2017-05-01 16:00:00,1.09116,1.09066,1.09117,1.09058
2017-05-01 16:05:00,1.09068,1.09045,1.09071,1.09036
2017-05-01 16:10:00,1.09045,1.09030,1.09064,1.09029
2017-05-01 16:15:00,1.09027,1.09022,1.09036,1.09016
2017-05-01 16:20:00,1.09022,1.09065,1.09065,1.09021
2017-05-01 16:25:00,1.09064,1.09065,1.09065,1.09043
2017-05-01 16:30:00,1.09064,1.09080,1.09080,1.09054
2017-05-01 16:35:00,1.09081,1.09059,1.09084,1.09055
2017-05-01 16:40:00,1.09058,1.09084,1.09094,1.09053
2017-05-01 16:45:00,1.09082,1.09079,1.09084,1.09060
2017-05-01 16:50:00,1.09079,1.09073,1.09159,1.09059
2017-05-01 16:55:00,1.09072,1.09043,1.09082,1.09026
2017-05-01 17:00:00,1.09041,1.09019,1.09047,1.08987
2017-05-01 17:05:00,1.09019,1.09025,1.09030,1.09005
2017-05-01 17:10:00,1.09026,1.09018,1.09029,1.09010
2017-05-01 17:15:00,1.09018,1.09024,1.09029,1.09003
2017-05-01 17:20:00,1.09024,1.09034,1.09042,1.09016
2017-05-01 17:25:00,1.09034,1.09025,1.09040,1.09006
2017-05-01 17:30:00,1.09025,1.09035,1.09041,1.09013
2017-05-01 17:35:00,1.09034,1.09069,1.09069,1.09032
2017-05-01 17:40:00,1.09066,1.09056,1.09068,1.09049
2017-05-01 17:45:00,1.09056,1.09067,1.09079,1.09056
2017-05-01 17:50:00,1.09066,1.09059,1.09072,1.09055
2017-05-01 17:55:00,1.09059,1.09051,1.09069,1.09051
2017-05-01 18:00:00,1.09050,1.09072,1.09083,1.09036
2017-05-01 18:05:00,1.09069,1.09047,1.09076,1.09042
2017-05-01 18:10:00,1.09048,1.09055,1.09059,1.09043
2017-05-01 18:15:00,1.09054,1.09067,1.09073,1.09050
2017-05-01 18:20:00,1.09067,1.09041,1.09068,1.09041
2017-05-01 18:25:00,1.09041,1.09065,1.09068,1.09039
2017-05-01 18:30:00,1.09065,1.09069,1.09078,1.09062
2017-05-01 18:35:00,1.09071,1.09066,1.09077,1.09062
