asset,n_markets,final_bankroll,pnl,roi_pct,n_trades,win_rate,max_drawdown_pct,sharpe_daily
ethereum,5780,244960.38006151115,244860.38006151115,244860.38006151115,5780,0.542560553633218,-60.51345011877577,6.252440586995062
bitcoin,5781,174004.57930686514,173904.57930686514,173904.57930686514,5775,0.526060606060606,-74.02541725246559,5.78065942205237
