mode,label,kelly_fraction,max_pct_per_trade,max_position_usd,fixed_usd,final_bankroll,pnl,roi_pct,n_trades,win_rate,max_drawdown_pct,sharpe_daily
kelly,kelly×0.75 cap25% max$1000,0.75,0.25,1000.0,,968783.2744956206,968683.2744956206,968683.2744956205,11561,0.5342963411469596,-87.3663853651068,8.06267488285421
kelly,kelly×1.00 cap25% max$1000,1.0,0.25,1000.0,,960900.2296335651,960800.2296335651,960800.2296335652,11561,0.5342963411469596,-94.87400211612767,8.000377756392602
kelly,kelly×0.50 cap25% max$1000,0.5,0.25,1000.0,,952626.9767127505,952526.9767127505,952526.9767127505,11561,0.5342963411469596,-72.70439799530091,8.002490717953913
kelly,kelly×0.50 cap15% max$1000,0.5,0.15,1000.0,,947254.4476996638,947154.4476996638,947154.4476996638,11561,0.5342963411469596,-72.70439799530088,7.973377106471463
kelly,kelly×0.75 cap15% max$1000,0.75,0.15,1000.0,,945577.3202077207,945477.3202077207,945477.3202077207,11561,0.5342963411469596,-84.21676889522574,7.933407915809188
kelly,kelly×1.00 cap15% max$1000,1.0,0.15,1000.0,,932343.3125284264,932243.3125284264,932243.3125284264,11561,0.5342963411469596,-90.98830949220238,7.856279043245519
kelly,kelly×0.75 cap10% max$1000,0.75,0.1,1000.0,,926597.856025189,926497.856025189,926497.8560251889,11561,0.5342963411469596,-76.4604479068316,7.85141317123827
kelly,kelly×1.00 cap10% max$1000,1.0,0.1,1000.0,,922835.2637206174,922735.2637206174,922735.2637206173,11561,0.5342963411469596,-83.97081674780522,7.824076192483553
kelly,kelly×0.50 cap10% max$1000,0.5,0.1,1000.0,,910378.0918462955,910278.0918462955,910278.0918462955,11561,0.5342963411469596,-68.15343723765872,7.742960069297842
kelly,kelly×1.00 cap5% max$1000,1.0,0.05,1000.0,,878189.7329497486,878089.7329497486,878089.7329497486,11561,0.5342963411469596,-73.66537917904238,7.569001717284881
kelly,kelly×0.25 cap25% max$1000,0.25,0.25,1000.0,,872337.1682013262,872237.1682013262,872237.1682013262,11545,0.5340840190558683,-45.68699908543882,7.597134774251693
kelly,kelly×0.25 cap15% max$1000,0.25,0.15,1000.0,,872337.1682013262,872237.1682013262,872237.1682013262,11545,0.5340840190558683,-45.68699908543882,7.597134774251693
kelly,kelly×0.75 cap5% max$1000,0.75,0.05,1000.0,,869003.2260524528,868903.2260524528,868903.2260524527,11561,0.5342963411469596,-66.23030792528765,7.508575928240814
kelly,kelly×0.25 cap10% max$1000,0.25,0.1,1000.0,,867835.6735191104,867735.6735191104,867735.6735191104,11545,0.5340840190558683,-45.68699908543877,7.57072880783881
kelly,kelly×0.50 cap5% max$1000,0.5,0.05,1000.0,,857973.6961970392,857873.6961970392,857873.6961970391,11561,0.5342963411469596,-60.2648950822853,7.467388809048392
kelly,kelly×0.25 cap5% max$1000,0.25,0.05,1000.0,,816712.973561664,816612.973561664,816612.973561664,11539,0.5341017419187105,-41.67311695617534,7.250752821867568
kelly,kelly×0.10 cap25% max$1000,0.1,0.25,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap10% max$1000,0.1,0.1,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap15% max$1000,0.1,0.15,1000.0,,578305.6641534464,578205.6641534464,578205.6641534464,11245,0.5349933303690529,-46.340626017134745,6.6490950337166455
kelly,kelly×0.10 cap5% max$1000,0.1,0.05,1000.0,,572265.4054114874,572165.4054114874,572165.4054114874,11238,0.5348816515394198,-46.86044456129453,6.624661011195559
kelly,kelly×0.75 cap25% max$500,0.75,0.25,500.0,,489429.33245087456,489329.33245087456,489329.3324508745,11561,0.5342963411469596,-87.3663853651068,8.121834566027447
kelly,kelly×1.00 cap25% max$500,1.0,0.25,500.0,,486755.16487188486,486655.16487188486,486655.16487188486,11561,0.5342963411469596,-93.21972476093183,8.072745484437378
kelly,kelly×0.50 cap25% max$500,0.5,0.25,500.0,,484624.01748477237,484524.01748477237,484524.0174847724,11561,0.5342963411469596,-72.70439799530091,8.096513376120877
kelly,kelly×0.75 cap15% max$500,0.75,0.15,500.0,,480802.23678774404,480702.23678774404,480702.236787744,11561,0.5342963411469596,-84.21676889522574,8.027429687562025
kelly,kelly×0.50 cap15% max$500,0.5,0.15,500.0,,479061.89881858573,478961.89881858573,478961.89881858573,11561,0.5342963411469596,-72.70439799530088,8.030493972931037
kelly,kelly×1.00 cap15% max$500,1.0,0.15,500.0,,478730.19203062425,478630.19203062425,478630.1920306242,11561,0.5342963411469596,-90.98830949220238,7.984924699042802
kelly,kelly×1.00 cap10% max$500,1.0,0.1,500.0,,473029.98749648855,472929.98749648855,472929.9874964886,11561,0.5342963411469596,-83.97081674780522,7.912244243407151
kelly,kelly×0.75 cap10% max$500,0.75,0.1,500.0,,472695.4198197029,472595.4198197029,472595.41981970286,11561,0.5342963411469596,-76.4604479068316,7.928643770494004
kelly,kelly×0.50 cap10% max$500,0.5,0.1,500.0,,469774.98776381864,469674.98776381864,469674.98776381864,11561,0.5342963411469596,-68.15343723765872,7.930547071663714
kelly,kelly×1.00 cap5% max$500,1.0,0.05,500.0,,452764.61810220574,452664.61810220574,452664.6181022057,11561,0.5342963411469596,-73.66537917904238,7.719132987520542
kelly,kelly×0.25 cap25% max$500,0.25,0.25,500.0,,445431.4425747948,445331.4425747948,445331.4425747948,11545,0.5340840190558683,-45.68699908543882,7.691923476997339
kelly,kelly×0.25 cap15% max$500,0.25,0.15,500.0,,445431.4425747948,445331.4425747948,445331.4425747948,11545,0.5340840190558683,-45.68699908543882,7.691923476997339
kelly,kelly×0.25 cap10% max$500,0.25,0.1,500.0,,443777.02346011857,443677.02346011857,443677.02346011857,11545,0.5340840190558683,-45.68699908543877,7.6762451483897705
kelly,kelly×0.75 cap5% max$500,0.75,0.05,500.0,,442628.12221269176,442528.12221269176,442528.12221269176,11561,0.5342963411469596,-66.23030792528765,7.578237098532216
kelly,kelly×0.50 cap5% max$500,0.5,0.05,500.0,,439474.33984614257,439374.33984614257,439374.33984614257,11561,0.5342963411469596,-60.2648950822853,7.566635664670835
kelly,kelly×0.25 cap5% max$500,0.25,0.05,500.0,,421569.07898138644,421469.07898138644,421469.07898138644,11539,0.5341017419187105,-41.67311695617534,7.423036599902267
kelly,kelly×0.10 cap25% max$500,0.1,0.25,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap10% max$500,0.1,0.1,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap15% max$500,0.1,0.15,500.0,,310526.50468167145,310426.50468167145,310426.50468167145,11245,0.5349933303690529,-40.77653462212829,6.728533355592201
kelly,kelly×0.10 cap5% max$500,0.1,0.05,500.0,,308767.67187600204,308667.67187600204,308667.67187600204,11238,0.5348816515394198,-41.617184974687845,6.731218628064328
kelly,kelly×0.75 cap25% max$250,0.75,0.25,250.0,,249030.9750176835,248930.9750176835,248930.97501768346,11561,0.5342963411469596,-79.4209837502701,8.209289543891169
kelly,kelly×1.00 cap25% max$250,1.0,0.25,250.0,,248969.300504784,248869.300504784,248869.30050478398,11561,0.5342963411469596,-84.83829364821092,8.189612145169495
kelly,kelly×0.50 cap25% max$250,0.5,0.25,250.0,,245917.61604740963,245817.61604740963,245817.61604740963,11561,0.5342963411469596,-72.70439799530091,8.183741329111774
kelly,kelly×0.50 cap15% max$250,0.5,0.15,250.0,,244056.36770464014,243956.36770464014,243956.36770464017,11561,0.5342963411469596,-72.70439799530088,8.14093174682482
kelly,kelly×0.75 cap15% max$250,0.75,0.15,250.0,,242929.77011547197,242829.77011547197,242829.77011547197,11561,0.5342963411469596,-84.21676889522574,8.075511417622424
kelly,kelly×1.00 cap15% max$250,1.0,0.15,250.0,,242299.00805975957,242199.00805975957,242199.00805975957,11561,0.5342963411469596,-90.98830949220238,8.041838995437425
