half_spread_cents,flat_fee_cents,fee_rate_pct,final_bankroll,pnl,roi_pct,n_trades,win_rate,max_drawdown_pct,sharpe_daily
0.5,0.0,0.0,795858.3031610958,795758.3031610958,795758.3031610958,11561,0.5342963411469596,-67.17200153667665,12.688170003201872
0.5,0.0,1.0,739548.737129943,739448.737129943,739448.737129943,11561,0.5342963411469596,-68.22912246917049,11.841069058533634
0.5,0.0,2.0,682478.1041597913,682378.1041597913,682378.1041597913,11561,0.5342963411469596,-69.3502260008612,10.97178781945683
0.5,0.0,3.0,624809.24563049,624709.24563049,624709.24563049,11561,0.5342963411469596,-70.43262719480005,10.09429358215132
0.5,0.0,4.0,568550.7606479846,568450.7606479846,568450.7606479846,11561,0.5342963411469596,-71.47763282782613,9.237381163811525
0.5,0.3,0.0,758751.3380926838,758651.3380926838,758651.3380926838,11561,0.5342963411469596,-67.90436162833517,12.130510870018483
0.5,0.3,1.0,702213.1247248314,702113.1247248314,702113.1247248314,11561,0.5342963411469596,-69.03671672681268,11.272254345365718
0.5,0.3,2.0,644391.6081537188,644291.6081537188,644291.6081537188,11561,0.5342963411469596,-70.12998823563662,10.391700026763369
0.5,0.3,3.0,588097.6900100698,587997.6900100698,587997.6900100698,11561,0.5342963411469596,-71.18549556316727,9.53295798688145
0.5,0.3,4.0,530237.7768017947,530137.7768017947,530137.7768017947,11561,0.5342963411469596,-72.2045145633529,8.645692454665971
0.5,0.5,0.0,734176.1414735775,734076.1414735775,734076.1414735775,11561,0.5342963411469596,-68.45045066095575,11.758795518445142
0.5,0.5,1.0,676914.9702277553,676814.9702277553,676814.9702277553,11561,0.5342963411469596,-69.56399130402819,10.886120688215964
0.5,0.5,2.0,619371.4169063269,619271.4169063269,619271.4169063269,11561,0.5342963411469596,-70.63908237268231,10.010445140475007
0.5,0.5,3.0,563023.672669684,562923.672669684,562923.672669684,11561,0.5342963411469596,-71.67702238313721,9.1519683112681
0.5,0.5,4.0,503972.3333058625,503872.3333058625,503872.3333058625,11561,0.5342963411469596,-72.67906697022927,8.243512084779274
0.5,1.0,0.0,671368.2536894345,671268.2536894345,671268.2536894345,11561,0.5342963411469596,-69.77646553177507,10.800612834193787
0.5,1.0,1.0,613993.7876430197,613893.7876430197,613893.7876430197,11561,0.5342963411469596,-70.84428921307172,9.927284371918491
