metric,value
final_bankroll_p05,29.644077026638058
final_bankroll_p25,433946.3880489454
final_bankroll_p50,474651.0884703782
final_bankroll_p75,516560.55832259293
final_bankroll_p95,581831.6308506969
max_drawdown_p05,-95.6032990283606
max_drawdown_p50,-84.71169050898251
max_drawdown_p95,-65.221176948502
mean_final,453698.4644589888
std_final,126824.67414238946
