month,train_n,train_pnl_real_mean_$,train_win_rate,test_n,test_win_rate,test_pnl_real_mean_$,bankroll_start,bankroll_end,bankroll_pnl,bankroll_pct
2025-06,0,,,568,0.5334507042253521,0.03663292253521125,100.0,936.6701133653925,836.6701133653925,836.6701133653925
2025-07,568,0.03663292253521125,0.5334507042253521,999,0.5205205205205206,0.027120220220220204,936.6701133653929,21365.91573441755,20429.24562105216,2181.0502256393397
2025-08,1567,0.030568347160178675,0.5252074026802808,1000,0.558,0.05636199999999998,21341.888385421047,79235.85004680199,57893.96166138095,271.2691614530659
2025-09,2567,0.040616517335410975,0.5379820802493183,1000,0.53,0.04353959999999999,79093.99876485403,123846.35044837091,44752.351683516885,56.58122282648188
2025-10,3567,0.041435996635828413,0.535744322960471,996,0.5491967871485943,0.05161154618473895,123799.59619063503,179450.68158846436,55651.08539782933,44.952558094078114
2025-11,4563,0.04365708963401269,0.5386806925268464,998,0.5240480961923848,0.015471643286573139,179601.2801316582,193405.6688252171,13804.388693558896,7.686130457110036
2025-12,5561,0.03859881316310015,0.5360546664269016,1000,0.536,0.042170099999999974,193349.38413501324,240489.70534983947,47140.321214826225,24.38090063007844
2026-01,6561,0.03914313366864806,0.5360463344002439,1000,0.529,0.043896199999999996,240639.68786323632,292145.1749161842,51505.487052947894,21.40357125222844
2026-02,7561,0.03977176299431291,0.5351144028567649,1002,0.5189620758483033,0.0276755489021956,292068.17962672294,321356.82051417173,29288.640887448797,10.028015008304251
2026-03,8563,0.038356323718323,0.5332243372649772,1000,0.542,0.04522739999999999,321448.43504280504,364435.92671260133,42987.49166979629,13.373059870106987
2026-04,9563,0.03907483007424447,0.5341420056467636,1000,0.548,0.06675179999999999,364391.8655469371,430782.0072328508,66390.14168591372,18.219435712777194
2026-05,10563,0.04169501088705859,0.5354539430086149,998,0.5220440881763527,0.04364348697394788,430568.362433349,478949.02159215393,48380.65915880492,11.23646402754316
