timestamp,flat $1/trade,flat $2/trade,flat $5/trade,fixed_pct (2.0%/trade),kelly (10%K),kelly (25%K),kelly (50%K)
2026-04-26 23:00:00+00:00,98.975,97.955,94.895,97.955,100.0,100.0,98.33297841128176
2026-04-26 23:00:00+00:00,97.94999999999999,95.91,89.78999999999999,95.951718,100.0,100.0,98.33297841128176
2026-04-27 00:00:00+00:00,98.945202020202,97.90540404040404,94.78601010101009,97.8661400437091,102.15360613845068,105.39151534612671,108.16326277722632
2026-04-27 01:00:00+00:00,97.920202020202,95.86040404040403,89.68101010101009,95.86467078681743,100.14780565805204,100.2259683398693,97.56572883217639
2026-04-27 01:00:00+00:00,99.16792929292927,98.36085858585858,95.93964646464646,98.26151653853078,106.82960701660254,112.77654873735474,109.7830537713345
2026-04-27 05:00:00+00:00,100.20478496303237,100.43956992606476,101.14392481516192,100.30400290170273,108.07901183279097,116.08213486230561,116.22347631067011
2026-04-27 05:00:00+00:00,101.15998298283435,102.35496596566873,105.93991491417182,102.22523700099127,109.78323613208181,120.6666107063106,125.40860427767937
2026-04-27 06:00:00+00:00,102.11518100263633,104.27036200527269,110.73590501318172,104.18336640383407,109.78323613208181,120.6666107063106,125.40860427767937
2026-04-27 07:00:00+00:00,103.4998195568532,107.04463911370642,117.67909778426606,107.07391085709148,109.78323613208181,123.41754321442829,131.1320762601687
2026-04-27 07:00:00+00:00,104.49502157705521,109.04004315411046,122.67510788527616,109.21082169609535,109.78323613208181,123.41754321442829,131.1320762601687
2026-04-27 08:00:00+00:00,103.4700215770552,106.99504315411046,117.57010788527616,106.977920933495,108.4484233959668,119.67512786284597,123.18501191283167
2026-04-27 08:00:00+00:00,102.4450215770552,104.95004315411046,112.46510788527615,104.7905713464517,108.4484233959668,117.36158685128423,118.42751810582433
2026-04-27 09:00:00+00:00,103.18993308147998,106.44486616296001,116.20966540740005,106.3572444466107,108.4484233959668,117.36158685128423,118.42751810582433
2026-04-27 11:00:00+00:00,102.16493308147997,104.39986616296001,111.10466540740005,104.18255665989983,108.4484233959668,114.80952325782889,113.2821237413063
2026-04-27 13:00:00+00:00,103.3621553037022,106.79931060740445,117.11077651851116,106.68256835558898,108.4484233959668,114.80952325782889,113.2821237413063
2026-04-27 13:00:00+00:00,102.33715530370219,104.75431060740445,112.00577651851115,104.50124396113497,108.4484233959668,114.80952325782889,113.2821237413063
2026-04-27 14:00:00+00:00,103.11395710550399,106.31291421100805,115.90978552752016,106.13022917752187,108.4484233959668,114.80952325782889,114.6988309854811
2026-04-27 14:00:00+00:00,102.08895710550398,104.26791421100805,110.80478552752015,103.96017250230042,108.4484233959668,114.80952325782889,114.6988309854811
2026-04-27 15:00:00+00:00,103.26175930330618,106.61851860661244,116.68879651653114,106.40406289544252,110.65602202207832,120.66047269144319,126.39443796104138
2026-04-27 15:00:00+00:00,103.6756082241695,107.45121644833905,118.77804112084769,107.29040743382708,113.65971596168173,125.70932356920997,131.68345535535204
2026-04-27 16:00:00+00:00,104.73394155750283,109.57288311500572,124.08970778751436,109.56711676525315,113.65971596168173,128.3649446977331,137.25258102316684
2026-04-27 19:00:00+00:00,105.61370346226474,111.33740692452953,128.50851731132389,111.50093298382305,113.65971596168173,128.3649446977331,137.25258102316684
2026-04-27 19:00:00+00:00,106.49346536702664,113.10193073405334,132.9273268351334,113.46896854081298,113.65971596168173,128.3649446977331,138.5628095680421
2026-04-27 21:00:00+00:00,107.04326851663295,114.20653703326595,135.69634258316492,114.7230273633934,113.65971596168173,128.3649446977331,138.5628095680421
2026-04-27 23:00:00+00:00,108.03847053683496,116.20194107366999,140.69235268417503,117.01295143804455,113.65971596168173,128.3649446977331,138.5628095680421
2026-04-28 05:00:00+00:00,107.01347053683496,114.15694107366998,135.58735268417504,114.62088722870844,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 06:00:00+00:00,105.98847053683495,112.11194107366998,130.48235268417505,112.27762112924279,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 06:00:00+00:00,104.96347053683495,110.06694107366998,125.37735268417505,109.98215765820623,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 07:00:00+00:00,103.93847053683494,108.02194107366998,120.27235268417505,107.73352164197883,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 16:00:00+00:00,102.91347053683494,105.97694107366998,115.16735268417504,105.53075780048246,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 17:00:00+00:00,103.59787224623665,107.3507444924734,118.60936123118358,106.98081949692467,113.65971596168173,126.42243917795224,134.37495093780473
2026-04-28 18:00:00+00:00,104.59307426643866,109.34614853287744,123.60537133219368,109.11586813259851,113.65971596168173,128.26571988186154,138.29904185745562
2026-04-28 21:00:00+00:00,103.56807426643866,107.30114853287743,118.50037133219368,106.8849044226935,113.65971596168173,125.45957519660044,132.25352493005641
2026-04-29 01:00:00+00:00,104.76529648866088,109.70059297732188,124.50648244330479,109.4498925690347,113.65971596168173,125.45957519660044,132.25352493005641
2026-04-29 03:00:00+00:00,105.24405588715712,110.66311177431436,126.920279435786,110.50384085292819,113.65971596168173,125.45957519660044,132.25352493005641
2026-04-29 04:00:00+00:00,106.5719970636277,113.32399412725553,133.57998531813894,113.44474324554861,113.65971596168173,125.45957519660044,132.25352493005641
2026-04-29 04:00:00+00:00,107.76921928584993,115.72343857169997,139.58609642925006,116.16745907203047,113.65971596168173,125.45957519660044,132.25352493005641
2026-04-29 06:00:00+00:00,106.74421928584992,113.67843857169997,134.48109642925007,113.79264290696105,113.65971596168173,125.45957519660044,131.20614834905138
2026-04-29 10:00:00+00:00,105.71921928584992,111.63343857169997,129.37609642925008,111.46627299165904,113.65971596168173,123.39686123567745,126.89721661974815
2026-04-29 11:00:00+00:00,104.69421928584991,109.58843857169997,124.27109642925008,109.18736102262919,112.17532089155438,119.376526808773,118.63374460564305
2026-04-29 13:00:00+00:00,105.77448244374465,111.75396488748945,129.69241221872377,111.55230142714142,112.17532089155438,119.376526808773,119.86946115244078
2026-04-29 13:00:00+00:00,106.65424434850655,113.51848869701325,134.1112217425333,113.52124596096645,112.17532089155438,119.376526808773,121.11872276425532
2026-04-29 14:00:00+00:00,107.82704654630875,115.86909309261765,139.9952327315443,116.19035742076785,115.57369703350122,128.42617492612115,135.37911255092882
2026-04-29 14:00:00+00:00,108.84286287283936,117.90572574567886,145.09431436419734,118.5575376975788,117.22600673436595,133.02520575262304,145.08069468354313
2026-04-29 15:00:00+00:00,110.06505388407531,120.35510776815077,151.22526942037712,121.46239258911352,117.22600673436595,133.02520575262304,145.08069468354313
2026-04-29 15:00:00+00:00,111.28724489531126,122.80448979062268,157.3562244765569,124.43854371688498,117.22600673436595,134.36568194916597,148.0105162486776
2026-04-29 16:00:00+00:00,112.30306122184187,124.8411224436839,162.45530610920994,126.97412165840277,118.64768590560881,138.44886863032417,157.0122002831934
2026-04-29 16:00:00+00:00,113.55078849456915,127.34157698913845,168.7139424728463,130.1504005610442,121.56197253884267,146.96008891085282,176.32336368085203
2026-04-29 17:00:00+00:00,112.52578849456914,125.29657698913844,163.6089424728463,127.49033238959889,121.56197253884267,146.96008891085282,176.32336368085203
2026-04-29 17:00:00+00:00,111.50078849456914,123.25157698913844,158.50394247284632,124.88452960885107,121.56197253884267,145.56493991724858,172.9825498774385
2026-04-29 18:00:00+00:00,112.53764416467223,125.33028832934463,163.70822082336178,127.48176271447385,124.36319381405868,153.96074616425972,190.9998349193085
2026-04-29 18:00:00+00:00,113.45439173748777,127.1687834749757,168.31195868743944,129.8268828216801,125.81399905049585,158.46143739005,202.17412966506362
2026-04-29 19:00:00+00:00,114.67658274872372,129.61816549744762,174.44291374361921,133.00833049399108,125.81399905049585,160.8093221028442,208.17301839466649
2026-04-29 19:00:00+00:00,115.84938494652592,131.968769893052,180.3269247326302,136.13648057362755,125.81399905049585,160.8093221028442,208.17301839466649
2026-04-29 20:00:00+00:00,116.5942964509507,133.46359290190156,184.0714822547541,138.1732868327088,126.91385579396106,164.33475721495935,217.30854985049217
2026-04-29 20:00:00+00:00,117.20864071324577,134.6972814264917,187.1632035662295,139.87982348075462,127.8805571776563,167.4752827759004,225.62253981646305
2026-04-29 21:00:00+00:00,117.95355221767055,136.19210443534126,190.9077610883534,141.97277325805712,127.8805571776563,167.4752827759004,225.62253981646305
2026-04-29 22:00:00+00:00,118.90875023747253,138.10750047494523,195.7037511873633,144.69421277302075,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-29 23:00:00+00:00,117.88375023747253,136.06250047494524,190.59875118736332,141.73745083245112,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-30 00:00:00+00:00,118.4980944997676,137.2961889995354,193.69047249883872,143.48813637095932,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-30 01:00:00+00:00,117.4730944997676,135.2511889995354,188.58547249883873,140.55597838899175,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-30 02:00:00+00:00,116.44809449976759,133.2061889995354,183.48047249883874,137.6836364298563,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-30 02:00:00+00:00,115.42309449976759,131.16118899953543,178.37547249883875,134.86989024668725,127.8805571776563,168.79460428658604,229.18578914641685
2026-04-30 06:00:00+00:00,114.39809449976758,129.11618899953544,173.27047249883876,132.11354448565484,127.8805571776563,167.4437940753426,225.52616313975315
2026-04-30 09:00:00+00:00,115.35329251956956,131.0315850391394,178.06646259784867,134.64564776173776,127.8805571776563,167.4437940753426,225.52616313975315
2026-04-30 10:00:00+00:00,114.32829251956956,128.9865850391394,172.96146259784868,131.89387654739832,127.8805571776563,167.4437940753426,225.52616313975315
2026-04-30 11:00:00+00:00,113.30329251956955,126.94158503913941,167.8564625978487,129.1982414658314,127.8805571776563,165.48105129539798,220.24748644108976
2026-04-30 11:00:00+00:00,113.98769422897126,128.31538845794282,171.29847114485725,130.97463123619616,127.8805571776563,166.69221821629998,223.47980824107418
2026-04-30 13:00:00+00:00,112.96269422897126,126.27038845794281,166.19347114485726,128.29774875897775,127.8805571776563,163.87117089513345,215.924009264778
2026-04-30 13:00:00+00:00,113.80685310747593,127.96370621495215,170.4342655373806,130.4716522079947,127.8805571776563,163.87117089513345,217.83385303510548
2026-04-30 14:00:00+00:00,112.78185310747592,125.91870621495215,165.32926553738062,127.80503050295161,127.8805571776563,162.6833783476423,214.68428213158657
2026-04-30 14:00:00+00:00,111.75685310747592,123.87370621495215,160.22426553738063,125.19280788069139,127.8805571776563,161.32900626456208,211.1178982959812
2026-04-30 16:00:00+00:00,112.38474566945939,125.13449133891909,163.383728347298,126.7724798191217,127.8805571776563,162.15917426738235,213.29872857612716
2026-04-30 17:00:00+00:00,113.46500882735413,127.30001765470857,168.80504413677167,129.51910985477463,127.8805571776563,162.15917426738235,213.29872857612716
