bot,candidates,skipped_fill_high,skipped_no_edge_post,trades,wins,wr_pct,profit_usd,bankroll_final,roi_pct,best_trade,worst_trade,best_trade_ts,worst_trade_ts,dd_max_usd,dd_max_pct,dd_peak_bankroll,dd_valley_bankroll,dd_peak_ts,dd_valley_ts,volatility_usd,daily_best_usd,daily_worst_usd,daily_best_date,daily_worst_date,days_positive,days_negative,days_flat,total_days_traded,profit_factor,gross_win_usd,gross_loss_usd,game_over_at
"V1  Alerts (5pp, sin filtros)",2235,0,0,2235,1196,53.51230425055928,3441.3364352678664,3541.3364352678664,3441.3364352678664,37.41404761904763,-10.205000000000002,2026-05-22 23:00:00+00:00,2026-05-02 13:00:00+00:00,-200.2003948745387,-7.3472840899755045,2724.8217494092587,2524.62135453472,2026-05-19 07:00:00+00:00,2026-05-19 21:00:00+00:00,11.316581851225479,313.39979782489087,-86.77761150860988,2026-05-13,2026-05-19,24,2,0,26,1.3245626764199934,14044.331435267808,10602.995,
V2B Selective (10pp + skip),332,0,0,332,179,53.91566265060241,598.8024971972745,698.8024971972745,598.8024971972745,33.27326086956522,-10.205000000000002,2026-05-17 00:00:00+00:00,2026-05-08 22:00:00+00:00,-138.881318974593,-20.49227847450741,677.7251204514066,538.8438014768136,2026-05-19 06:00:00+00:00,2026-05-22 17:00:00+00:00,11.483026438804728,120.56737735395771,-55.69048126109198,2026-05-03,2026-05-10,17,5,0,22,1.3835121814548663,2160.1674971972775,1561.365,
V4A Endgame 30pp,158,0,0,158,95,60.12658227848101,3430.8553803344807,3530.8553803344807,3430.855380334481,489.795,-10.205,2026-05-01 00:00:00+00:00,2026-05-01 19:00:00+00:00,-61.22999999999956,-1.9392585644618159,3157.3922695033784,3096.162269503379,2026-05-20 01:00:00+00:00,2026-05-20 15:00:00+00:00,58.19676383849978,523.9978780086998,-41.84788085634502,2026-05-01,2026-05-20,22,3,0,25,6.336405870658604,4073.770380334476,642.915,
V4B Endgame 40pp,54,0,0,54,39,72.22222222222223,1854.4215579201386,1954.4215579201386,1854.4215579201386,489.795,-10.205,2026-05-01 00:00:00+00:00,2026-05-01 19:00:00+00:00,-40.81999999999971,-2.2218302026634795,1837.2241025018752,1796.4041025018755,2026-05-19 21:00:00+00:00,2026-05-20 15:00:00+00:00,76.8663845525352,494.0763580246914,-40.82,2026-05-01,2026-05-20,18,2,0,20,13.114463876662676,2007.496557920139,153.075,
V4C SOL-only 30pp,40,0,0,40,22,55.0,532.5709995716887,632.5709995716887,532.5709995716887,189.795,-10.205,2026-05-13 07:00:00+00:00,2026-05-02 22:00:00+00:00,-46.94428571428563,-14.57082407680273,322.18003228123933,275.2357465669537,2026-05-06 02:00:00+00:00,2026-05-10 02:00:00+00:00,38.53185664997807,179.58999999999997,-30.615000000000002,2026-05-13,2026-05-17,14,8,0,22,3.8992922835847836,716.2609995716889,183.69,
