bot,candidates,skipped_fill_high,skipped_no_edge_post,trades,wins,wr_pct,profit_usd,bankroll_final,roi_pct,best_trade,worst_trade,game_over_at
"V1  Alerts (5pp, sin filtros)",2235,0,0,2235,1196,53.51230425055928,3441.3364352678664,3541.3364352678664,3441.3364352678664,37.41404761904763,-10.205000000000002,
V4A Endgame 30pp,158,0,0,158,95,60.12658227848101,3430.8553803344807,3530.8553803344807,3430.855380334481,489.795,-10.205,
V4B Endgame 40pp,54,0,0,54,39,72.22222222222223,1854.4215579201386,1954.4215579201386,1854.4215579201386,489.795,-10.205,
V2B Selective (10pp + skip),332,0,0,332,179,53.91566265060241,598.8024971972745,698.8024971972745,598.8024971972745,33.27326086956522,-10.205000000000002,
V4C SOL-only 30pp,40,0,0,40,22,55.0,532.5709995716887,632.5709995716887,532.5709995716887,189.795,-10.205,
