scenario,p05,p25,p50,p75,p95,mean,prob_loss,prob_burned,prob_2x,prob_5x,dd_median,dd_p95
Optimista,39655.65089670011,64061.795062532554,82424.6235037779,99666.00169008423,121805.53831032362,81690.46139525475,0.15,0.15,99.85000000000001,99.8,-69.36456004158129,-91.52562683124388
Base,26926.813548354334,45269.6466453202,60599.99479323905,75985.81130130561,97857.84819730694,61114.37364099203,0.05,0.05,99.95,99.9,-68.15361913027334,-91.7514785340628
Pesimista,15536.234437234854,30943.422696984748,43255.711189264315,57052.90499723283,77810.65024537857,44414.697480071125,0.05,0.0,99.95,99.7,-69.93480136014814,-92.24747346982856
Mala suerte,7622.2037215183345,19216.402431873525,28208.05630002718,38549.0179906243,53898.30551639791,29532.360967390294,0.0,0.0,99.95,99.55000000000001,-67.94758354745521,-89.21910156976156
